"","ID","TIME_ABSOLUTE","TIME_ELAPSED","X","Y","Z","U_Seeb","U_Seeb_StdDev","T_Probe","T_Sample","dT","X.","X._StdDev","T01...Column","T02...Room","T03...Device","std_dev_ID","std_dev_TIME_ABSOLUTE","std_dev_TIME_ELAPSED","std_dev_X","std_dev_Y","std_dev_Z","std_dev_U_Seeb","std_dev_U_Seeb_StdDev","std_dev_T_Probe","std_dev_T_Sample","std_dev_dT","std_dev_X.","std_dev_X._StdDev","std_dev_T01...Column","std_dev_T02...Room","std_dev_T03...Device"
"2",0,"2021.12.01 18:09:48",17.04064,0,0,-3.48,1.16632,0.0068224,36.58136,26.90922,6,194.38462,1.13732,28.1895,23.2737,26.7563,0,NA,9.32603419723518,0,0,0,0.0580762602101753,0.00279308213269857,0.0364191982338991,0.0206119382882835,0,9.68115617666609,0.465789745486094,0.060766438105256,0.0486687271253322,0.0570138579645339
"3",1,"2021.12.01 18:09:48",52.25954,0.15,0,-3.48,1.13686,0.00446554,36.608,26.89718,6,189.4737,0.74428,28.20976,23.2236,26.82244,0,NA,9.61980676432744,0,0,0,0.0146691172195194,0.0029953442386477,0.022351733713519,0.0235880690180434,0,2.44238621945834,0.499258877737792,0.0533968444760547,0.0489694802912993,0.04838437764403
"4",2,"2021.12.01 18:09:48",87.76538,0.3,0,-3.48,1.14444,0.003603,36.56916,26.90332,6,190.74208,0.6004,28.20154,23.29616,26.77972,0,NA,9.61983838492103,0,0,0,0.0192807676195737,0.00276738893182726,0.0195478387552169,0.00655339606616327,0,3.21611434529309,0.461102184987233,0.0695906818474997,0.0284247779234944,0.04295785143603
"5",3,"2021.12.01 18:09:48",123.32356,0.45,0,-3.48,1.11198,0.006098,36.55864,26.89386,6,185.332,1.01646,28.21388,23.33766,26.79832,0,NA,9.52913121711523,0,0,0,0.0193355113715671,0.00171939393391974,0.0196585350420616,0.0253765245847421,0,3.22451273605796,0.286666806589113,0.0401623206500829,0.0172169393331104,0.065508640651445
"6",4,"2021.12.01 18:09:48",158.73638,0.6,0,-3.48,1.13628,0.00452944,36.57794,26.89156,6,189.3802,0.754846,28.20032,23.31514,26.77428,0,NA,9.62714412777745,0,0,0,0.0119057549109664,0.00321856733159336,0.0372861636535588,0.0263225758617959,0,1.98288754345777,0.536419735915822,0.0347457479412948,0.0726541327110844,0.0586486743243183
"7",5,"2021.12.01 18:09:48",194.38048,0.75,0,-3.48,1.14344,0.0062112,36.57094,26.89498,6,190.57006,1.03528,28.18712,23.36668,26.77792,0,NA,9.61980676167667,0,0,0,0.01861042718478,0.00211573029944745,0.0168424463781238,0.0143355153377889,0,3.10037040416141,0.352645419649823,0.0352368698950401,0.0336935008569895,0.0512989960915414
"8",6,"2021.12.01 18:09:48",229.3736,0.9,0,-3.48,1.11136,0.00459316,36.58328,26.89416,6,185.22472,0.765766,28.1476,23.36422,26.80504,0,NA,9.12448288863538,0,0,0,0.0159173804377479,0.00402595346818614,0.0218094474941505,0.0190044205383904,0,2.65029775251763,0.671414168587467,0.0518704636570763,0.0685014744366868,0.0235122946562004
"9",7,"2021.12.01 18:09:48",264.1868,1.05,0,-3.48,1.12096,0.006005,36.56798,26.88724,6,186.82918,1.0008,28.15714,23.31742,26.81512,0,NA,9.61977513822439,0,0,0,0.0258692481529711,0.00417369925845167,0.0475975524580838,0.0159296264865196,0,4.3101126489919,0.695648805073365,0.0539869243428443,0.0492144998958646,0.052484397681597
"10",8,"2021.12.01 18:09:48",299.69258,1.2,0,-3.48,1.13658,0.0072128,36.58526,26.89236,6,189.43332,1.2018,28.14644,23.30694,26.79536,0,NA,9.61980676427548,0,0,0,0.0277262871657927,0.00113375601431701,0.0314244809026326,0.0207808325146036,0,4.62669406671762,0.189040207363407,0.0472406392844132,0.0452479060288985,0.0379642331675498
"11",9,"2021.12.01 18:09:48",335.32734,1.35,0,-3.48,1.1359,0.00408732,36.58678,26.89552,6,189.31516,0.681186,28.10092,23.29262,26.78694,0,NA,9.61980676432743,0,0,0,0.0071843580088968,0.00397471428054898,0.0244957547342398,0.0129580862784597,0,1.19261634778331,0.662327228777437,0.0226421509578929,0.0688091709003964,0.0307589499170565
